subsession_ID,track_name,track_id,driver_count,week_num,date,SOF,lead_changes,average_incidents,track_length,track_corners,free_track,day_of_week,average_license,temperature
63655736,Okayama International Circuit,166,22,0,2023-09-12 01:45:00+00:00,2781,0,4.909090909090909,2.314,11,True,1,14.045454545454543,74
63655737,Okayama International Circuit,166,21,0,2023-09-12 01:45:00+00:00,1757,2,4.190476190476191,2.314,11,True,1,12.666666666666666,74
63655738,Okayama International Circuit,166,21,0,2023-09-12 01:45:00+00:00,1559,0,5.904761904761905,2.314,11,True,1,13.142857142857142,74
63655739,Okayama International Circuit,166,21,0,2023-09-12 01:45:00+00:00,1354,1,8.666666666666666,2.314,11,True,1,10.666666666666666,74
63655740,Okayama International Circuit,166,21,0,2023-09-12 01:45:00+00:00,1203,0,9.61904761904762,2.314,11,True,1,10.80952380952381,74
63655741,Okayama International Circuit,166,21,0,2023-09-12 01:45:00+00:00,955,0,8.428571428571429,2.314,11,True,1,9.428571428571429,74
63655742,Okayama International Circuit,166,20,0,2023-09-12 01:45:00+00:00,482,1,6.333333333333333,2.314,11,True,1,6.714285714285714,74
63657533,Okayama International Circuit,166,22,0,2023-09-12 03:45:00+00:00,2315,0,5.909090909090909,2.314,11,True,1,12.863636363636363,74
63657534,Okayama International Circuit,166,21,0,2023-09-12 03:45:00+00:00,1561,0,6.9523809523809526,2.314,11,True,1,11.095238095238097,74
63657535,Okayama International Circuit,166,21,0,2023-09-12 03:45:00+00:00,1289,1,9.0,2.314,11,True,1,10.047619047619047,74
63657536,Okayama International Circuit,166,20,0,2023-09-12 03:45:00+00:00,1040,0,9.952380952380953,2.314,11,True,1,8.761904761904763,74
63657537,Okayama International Circuit,166,20,0,2023-09-12 03:45:00+00:00,519,1,8.571428571428571,2.314,11,True,1,7.142857142857143,74
63659810,Okayama International Circuit,166,18,0,2023-09-12 05:45:00+00:00,2294,1,2.9444444444444446,2.314,11,True,1,14.444444444444445,79
63659811,Okayama International Circuit,166,17,0,2023-09-12 05:45:00+00:00,1191,2,8.5,2.314,11,True,1,8.555555555555555,79
63659812,Okayama International Circuit,166,18,0,2023-09-12 05:45:00+00:00,738,1,9.5,2.314,11,True,1,7.444444444444445,79
63661130,Okayama International Circuit,166,20,0,2023-09-12 07:45:00+00:00,2630,2,4.0,2.314,11,True,1,13.8,74
63661131,Okayama International Circuit,166,20,0,2023-09-12 07:45:00+00:00,1255,1,8.9,2.314,11,True,1,9.75,74
63661132,Okayama International Circuit,166,18,0,2023-09-12 07:45:00+00:00,777,1,11.526315789473683,2.314,11,True,1,7.0,74
63662487,Okayama International Circuit,166,19,0,2023-09-12 09:45:00+00:00,2086,2,6.55,2.314,11,True,1,13.2,75
63662488,Okayama International Circuit,166,20,0,2023-09-12 09:45:00+00:00,1468,0,7.95,2.314,11,True,1,10.85,75
63662489,Okayama International Circuit,166,20,0,2023-09-12 09:45:00+00:00,1147,0,8.45,2.314,11,True,1,9.5,75
63662490,Okayama International Circuit,166,19,0,2023-09-12 09:45:00+00:00,701,1,7.9,2.314,11,True,1,7.15,75
63665788,Okayama International Circuit,166,22,0,2023-09-12 13:45:00+00:00,2911,1,9.272727272727272,2.314,11,True,1,13.318181818181818,74
63665789,Okayama International Circuit,166,21,0,2023-09-12 13:45:00+00:00,1902,4,4.523809523809524,2.314,11,True,1,12.80952380952381,74
63665790,Okayama International Circuit,166,21,0,2023-09-12 13:45:00+00:00,1562,0,6.714285714285714,2.314,11,True,1,12.80952380952381,74
63665791,Okayama International Circuit,166,21,0,2023-09-12 13:45:00+00:00,1358,1,5.047619047619048,2.314,11,True,1,11.19047619047619,74
63665792,Okayama International Circuit,166,21,0,2023-09-12 13:45:00+00:00,1099,0,8.0,2.314,11,True,1,8.428571428571429,74
63665793,Okayama International Circuit,166,21,0,2023-09-12 13:45:00+00:00,610,0,7.571428571428571,2.314,11,True,1,6.476190476190476,74
63667332,Okayama International Circuit,166,22,0,2023-09-12 15:45:00+00:00,3637,0,4.5,2.314,11,True,1,13.045454545454543,77
63667333,Okayama International Circuit,166,22,0,2023-09-12 15:45:00+00:00,2272,1,6.181818181818182,2.314,11,True,1,13.318181818181818,77
63667334,Okayama International Circuit,166,22,0,2023-09-12 15:45:00+00:00,1841,0,4.7727272727272725,2.314,11,True,1,13.181818181818182,77
63667335,Okayama International Circuit,166,21,0,2023-09-12 15:45:00+00:00,1647,0,6.136363636363637,2.314,11,True,1,9.954545454545457,77
63667336,Okayama International Circuit,166,22,0,2023-09-12 15:45:00+00:00,1473,1,6.590909090909091,2.314,11,True,1,10.0,77
63667337,Okayama International Circuit,166,21,0,2023-09-12 15:45:00+00:00,1296,0,7.090909090909091,2.314,11,True,1,10.727272727272728,77
63667338,Okayama International Circuit,166,20,0,2023-09-12 15:45:00+00:00,1176,1,7.136363636363637,2.314,11,True,1,9.272727272727272,77
63667339,Okayama International Circuit,166,20,0,2023-09-12 15:45:00+00:00,948,0,6.333333333333333,2.314,11,True,1,9.904761904761903,77
63667340,Okayama International Circuit,166,21,0,2023-09-12 15:45:00+00:00,586,2,9.38095238095238,2.314,11,True,1,6.095238095238095,77
63669005,Okayama International Circuit,166,24,0,2023-09-12 17:45:00+00:00,3430,2,3.875,2.314,11,True,1,12.416666666666666,77
